resolution,split,model,threshold,evaluated_samples,path_found_rate,success_rate_collision_free,unsafe_found_rate,collision_rate_among_found,planning_safety_utility,mean_map_iou,mean_collision_fraction_found,mean_path_false_positive_fraction_found,mean_inference_ms,mean_planning_ms
128,val,rgbd_concat_baseline,0.4,194,0.4587628865979381,0.30927835051546393,0.14948453608247422,0.3258426966292135,0.15979381443298973,0.5353377398152186,0.05172741665831717,0.05172741665831717,5.27335050907082,0.9934989688677963
128,val,rgbd_concat_baseline,0.45,194,0.42783505154639173,0.28865979381443296,0.13917525773195877,0.3253012048192771,0.1494845360824742,0.5223098340737169,0.045288871940936934,0.045288871940936934,5.27335050907082,0.9006618530508707
128,val,rgbd_concat_baseline,0.5,194,0.4072164948453608,0.27835051546391754,0.12886597938144329,0.31645569620253167,0.14948453608247425,0.5017872481229793,0.04444389594134809,0.04444389594134809,5.27335050907082,0.6036757684754419
128,val,rgbd_concat_baseline,0.55,194,0.4072164948453608,0.27835051546391754,0.12886597938144329,0.31645569620253167,0.14948453608247425,0.4597290827588396,0.04307928209962335,0.04307928209962335,5.27335050907082,0.6299123705662403
128,val,rgbd_concat_baseline,0.6,194,0.4020618556701031,0.27835051546391754,0.12371134020618557,0.3076923076923077,0.15463917525773196,0.44366044654940384,0.03348603228334406,0.03348603228334406,5.27335050907082,0.6019659808443225
128,val,rgbd_concat_baseline,0.65,194,0.3711340206185567,0.26288659793814434,0.10824742268041238,0.2916666666666667,0.15463917525773196,0.43018858349484146,0.029436469034031347,0.029436469034031347,5.27335050907082,0.533969072533829
128,val,rgbd_concat_baseline,0.7,194,0.3556701030927835,0.25773195876288657,0.0979381443298969,0.2753623188405797,0.15979381443298962,0.41620143445744484,0.029328621114036727,0.029328621114036727,5.27335050907082,0.4802953587489721
128,val,rgbd_concat_baseline,0.75,194,0.2422680412371134,0.18556701030927836,0.05670103092783505,0.23404255319148937,0.1288659793814433,0.4013528692058866,0.031025760062049195,0.031025760062049195,5.27335050907082,0.3614185603585133
128,val,semantic_clean,0.05,194,0.9123711340206185,0.5360824742268041,0.37628865979381443,0.4124293785310734,0.15979381443298968,0.6048203270800654,0.0969974610452575,0.0969974610452575,8.436807216452339,1.608610829487251
128,val,semantic_clean,0.1,194,0.7731958762886598,0.5360824742268041,0.23711340206185566,0.30666666666666664,0.2989690721649484,0.6933988648800683,0.04466879886150166,0.04466879886150166,8.436807216452339,0.8595231968487046
128,val,semantic_clean,0.15,194,0.7319587628865979,0.5257731958762887,0.20618556701030927,0.28169014084507044,0.31958762886597947,0.7111936716124333,0.03824406441058202,0.03824406441058202,8.436807216452339,0.7915994879722441
128,val,semantic_clean,0.2,194,0.7010309278350515,0.5154639175257731,0.18556701030927836,0.2647058823529412,0.3298969072164948,0.7182390294680423,0.03621676404857399,0.03621676404857399,8.436807216452339,0.8189463873931504
128,val,semantic_clean,0.25,194,0.6907216494845361,0.5103092783505154,0.18041237113402062,0.26119402985074625,0.3298969072164948,0.7218087630988431,0.03535251369729001,0.03535251369729001,8.436807216452339,0.8032015475598115
128,val,semantic_clean,0.3,194,0.6855670103092784,0.5103092783505154,0.17525773195876287,0.2556390977443609,0.3350515463917525,0.7233381425187412,0.03441990739271468,0.03441990739271468,8.436807216452339,0.8450324740740902
128,val,semantic_clean,0.35,194,0.6701030927835051,0.5051546391752577,0.16494845360824742,0.24615384615384617,0.3402061855670103,0.723798579866004,0.03333468376286871,0.03333468376286871,8.436807216452339,0.8596190768678087
128,val,semantic_clean,0.4,194,0.6391752577319587,0.4948453608247423,0.14432989690721648,0.22580645161290322,0.35051546391752586,0.7228354467843068,0.031904510595591504,0.031904510595591504,8.436807216452339,0.7146886608697781
128,val,semantic_clean,0.45,194,0.5824742268041238,0.44329896907216493,0.13917525773195877,0.23893805309734514,0.3041237113402061,0.7188721738076362,0.034782684586476244,0.034782684586476244,8.436807216452339,0.6325200989784807
128,val,semantic_clean,0.5,194,0.5257731958762887,0.39690721649484534,0.12886597938144329,0.24509803921568626,0.268041237113402,0.7053076026165094,0.03682601298434416,0.03682601298434416,8.436807216452339,0.4973634021337499
128,val,semantic_clean,0.55,194,0.4484536082474227,0.3247422680412371,0.12371134020618557,0.27586206896551724,0.20103092783505155,0.6978072812526185,0.038647980483787626,0.038647980483787626,8.436807216452339,0.37837371148514687
128,val,semantic_clean,0.6,194,0.32989690721649484,0.23195876288659795,0.0979381443298969,0.296875,0.13402061855670105,0.6904511996258066,0.04864843026100905,0.04864843026100905,8.436807216452339,0.3050561909102979
128,val,semantic_clean,0.65,194,0.26804123711340205,0.20103092783505155,0.06701030927835051,0.25,0.13402061855670105,0.6820316791295439,0.05364102061293487,0.05364102061293487,8.436807216452339,0.27390514901291924
128,val,semantic_clean,0.7,194,0.2268041237113402,0.18041237113402062,0.04639175257731959,0.20454545454545456,0.13402061855670103,0.6717336475977199,0.050187174827075354,0.050187174827075354,8.436807216452339,0.21005412215635794
128,val,semantic_clean,0.75,194,0.211340206185567,0.17010309278350516,0.041237113402061855,0.1951219512195122,0.1288659793814433,0.6584103645032793,0.03606179341484426,0.03606179341484426,8.436807216452339,0.20065206311854353
256,test,rgb_baseline,0.05,509,1.0,0.44597249508840864,0.5540275049115914,0.5540275049115914,-0.10805500982318272,0.2516469983303332,0.1562144859008878,0.1562144859008878,5.883433595336315,7.502211197663633
256,test,rgb_baseline,0.1,509,0.925343811394892,0.444007858546169,0.481335952848723,0.5201698513800425,-0.037328094302554016,0.3035858433322479,0.13575799705214975,0.13575799705214975,5.883433595336315,6.676886640333576
256,test,rgb_baseline,0.15,509,0.6051080550098232,0.3045186640471513,0.3005893909626719,0.4967532467532468,0.003929273084479323,0.6454851451787093,0.10078729348380319,0.10078729348380319,5.883433595336315,4.695520628095478
256,test,rgb_baseline,0.2,509,0.550098231827112,0.2966601178781925,0.25343811394891946,0.4607142857142857,0.043222003929273,0.6581737503432612,0.08600394448308012,0.08600394448308012,5.883433595336315,4.261744204745765
256,test,rgb_baseline,0.25,509,0.5225933202357563,0.29469548133595286,0.22789783889980353,0.43609022556390975,0.06679764243614938,0.6628052371170788,0.07314218810960355,0.07314218810960355,5.883433595336315,4.0305815330635175
256,test,rgb_baseline,0.3,509,0.5147347740667977,0.29862475442043224,0.21611001964636542,0.4198473282442748,0.08251473477406679,0.6652113510884445,0.059663595080323005,0.059663595080323005,5.883433595336315,3.9276243592310545
256,test,rgb_baseline,0.35,509,0.49705304518664045,0.2888015717092338,0.2082514734774067,0.4189723320158103,0.08055009823182718,0.6665885760650474,0.05883387212422015,0.05883387212422015,5.883433595336315,3.502931041242317
256,test,rgb_baseline,0.4,509,0.48526522593320237,0.2888015717092338,0.19646365422396855,0.4048582995951417,0.09233791748526526,0.6674507232010727,0.04967454760227316,0.04967454760227316,5.883433595336315,3.5241495080069
256,test,rgb_baseline,0.45,509,0.47544204322200395,0.29273084479371314,0.18271119842829076,0.384297520661157,0.11001964636542233,0.6676646834676585,0.04088696208348558,0.04088696208348558,5.883433595336315,3.305915126271458
256,test,rgb_baseline,0.5,509,0.44597249508840864,0.28094302554027506,0.1650294695481336,0.3700440528634361,0.11591355599214148,0.6655276918139017,0.03694573678838935,0.03694573678838935,5.883433595336315,3.1874328085508616
256,test,rgb_baseline,0.55,509,0.40078585461689586,0.26719056974459726,0.13359528487229863,0.3333333333333333,0.13359528487229866,0.6550748141063263,0.026908833438782743,0.026908833438782743,5.883433595336315,2.901284086786957
256,test,rgb_baseline,0.6,509,0.3850687622789784,0.26129666011787817,0.1237721021611002,0.32142857142857145,0.13752455795677793,0.651894739644273,0.019574787947383234,0.019574787947383234,5.883433595336315,2.5397253447817913
256,test,rgb_baseline,0.65,509,0.3477406679764244,0.24165029469548133,0.10609037328094302,0.3050847457627119,0.13555992141453826,0.6484361818654227,0.01528897531026484,0.01528897531026484,5.883433595336315,2.3044862453725137
256,test,rgb_baseline,0.7,509,0.3163064833005894,0.2220039292730845,0.09430255402750491,0.2981366459627329,0.12770137524557956,0.6441831903730001,0.013849476766367089,0.013849476766367089,5.883433595336315,1.778240079583494
256,test,rgb_baseline,0.75,509,0.2475442043222004,0.18860510805500982,0.05893909626719057,0.23809523809523808,0.12966601178781925,0.63871690352247,0.010608655784449406,0.010608655784449406,5.883433595336315,1.167950491431903
256,test,rgbd_concat_baseline,0.05,509,1.0,0.44597249508840864,0.5540275049115914,0.5540275049115914,-0.10805500982318272,0.25168985810511785,0.15622295416184573,0.15622295416184573,5.983943617783765,7.540654418953422
256,test,rgbd_concat_baseline,0.1,509,0.7662082514734774,0.3693516699410609,0.3968565815324165,0.517948717948718,-0.027504911591355596,0.4936572204804124,0.13349655102795577,0.13349655102795577,5.983943617783765,7.76504066842288
